i1,out_yearID,out_monthID,out_dayID,out_hourID,out_stateID,out_countyID,out_zoneID,out_linkID,out_pollutantID,out_processID,out_sourceTypeID,out_regClassID,out_fuelTypeID,out_fuelSubTypeID,out_modelYearID,out_roadTypeID,out_SCC,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
38,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1983,4,2201210412,NaN,NaN,NaN,5.276924799004866
39,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1982,4,2201210412,NaN,NaN,NaN,3.736791349518792
40,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1981,4,2201210412,NaN,NaN,NaN,2.716466702975297
41,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1980,4,2201210412,NaN,NaN,NaN,35.488722147324914
42,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2020,4,2205210412,NaN,NaN,NaN,0.0003813245580577132
43,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2019,4,2205210412,NaN,NaN,NaN,0.0008189553237086958
44,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2018,4,2205210412,NaN,NaN,NaN,0.000727310551796793
45,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2017,4,2205210412,NaN,NaN,NaN,0.0005988882035906094
46,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2016,4,2205210412,NaN,NaN,NaN,0.0024858483035400543
47,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2015,4,2205210412,NaN,NaN,NaN,0.0034006284111358907
48,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2014,4,2205210412,NaN,NaN,NaN,0.005599254153083414
49,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2013,4,2205210412,NaN,NaN,NaN,0.006389218045084989
50,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2012,4,2205210412,NaN,NaN,NaN,0.00708394770120434
51,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2011,4,2205210412,NaN,NaN,NaN,0.009266176768820624
52,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2010,4,2205210412,NaN,NaN,NaN,0.00804129446625553
53,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2009,4,2205210412,NaN,NaN,NaN,0.006094345969168602
54,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2008,4,2205210412,NaN,NaN,NaN,0.008507002917368002
55,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2007,4,2205210412,NaN,NaN,NaN,0.005288380875212505
56,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2006,4,2205210412,NaN,NaN,NaN,0.005316749642006709
57,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2005,4,2205210412,NaN,NaN,NaN,0.002518579210832718
58,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2004,4,2205210412,NaN,NaN,NaN,0.0013993278602255196
59,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2003,4,2205210412,NaN,NaN,NaN,0.003732882593982985
60,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2002,4,2205210412,NaN,NaN,NaN,0.0016569375438854148
61,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2001,4,2205210412,NaN,NaN,NaN,0.0015690025300222187
62,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,2000,4,2205210412,NaN,NaN,NaN,0.0018424883075660492
63,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,1999,4,2205210412,NaN,NaN,NaN,0.0018218019645871992
64,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,5,NaN,1998,4,2205210412,NaN,NaN,NaN,0.0007459534914971749
