i1,out_cohortOrdinal,out_pointOrdinal,out_ageSlot,out_ppOrdinal,out_SCC,out_modelYearID,out_polProcessID,out_pollutantID,out_processID,out_yearID,out_monthID,out_dayID,out_countyID,out_hourID,out_stateID,out_fuelTypeID,out_zoneID,out_linkID,out_sourceTypeID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
33,9,2,6,1,2265007010,2015,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.006988048553467
34,9,2,6,2,2265007010,2015,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,369.2352294921875
35,9,2,6,3,2265007010,2015,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.499504327774048
36,9,2,6,4,2265007010,2015,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15489520132541656
37,10,2,7,1,2265007010,2014,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.870396852493286
38,10,2,7,2,2265007010,2014,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225.0951385498047
39,10,2,7,3,2265007010,2014,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6583271026611328
40,10,2,7,4,2265007010,2014,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09698503464460373
41,11,2,8,1,2265007010,2013,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.869661331176758
42,11,2,8,2,2265007010,2013,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,733.108642578125
43,11,2,8,3,2265007010,2013,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4371724128723145
44,11,2,8,4,2265007010,2013,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3238344192504883
45,12,2,9,1,2265007010,2012,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.667637348175049
46,12,2,9,2,2265007010,2012,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,356.296630859375
47,12,2,9,3,2265007010,2012,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9160044193267822
48,12,2,9,4,2265007010,2012,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16046161949634552
49,13,2,10,1,2265007010,2011,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.976820945739746
50,13,2,10,2,2265007010,2011,201,2,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,312.9928283691406
51,13,2,10,3,2265007010,2011,301,3,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5732452869415283
52,13,2,10,4,2265007010,2011,10001,100,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14429372549057007
53,14,2,16,1,2265007010,2005,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.061440944671631
