i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantDirect,out_emissionQuant
1,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,91,1,176680.55526167256,176680.55526167256,8.709883304402481,8.709883304402481
2,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,1,91,1,180787.56476626176,180787.56476626176,10.639216106523897,10.639216106523897
3,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,1,91,1,181153.12012038578,181153.12012038578,11.257139671794862,11.257139671794862
4,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,1,91,1,190552.2140880223,190552.2140880223,13.304508284080178,13.304508284080178
5,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,1,91,1,194128.76917705982,194128.76917705982,13.516528959025752,13.516528959025752
6,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,1,91,1,204111.09054931568,204111.09054931568,15.18905933570157,15.18905933570157
7,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,1,91,1,213459.93236447632,213459.93236447632,14.733007531214442,14.733007531214442
8,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,1,91,1,219337.13881563026,219337.13881563026,15.40043257412951,15.40043257412951
9,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,1,91,1,226799.18774338448,226799.18774338448,13.604334011874142,13.604334011874142
10,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,1,91,1,247430.93154743573,247430.93154743573,10.877966587648924,10.877966587648924
